,Name,Artist,Link
0,Attention,Charlie Puth,https://www.youtube.com/watch?v=6QYcd7RggNU
1,Believer,Imagine Dragons,https://www.youtube.com/watch?v=W0DM5lcj6mw
2,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,https://www.youtube.com/watch?v=2VDdP7lYiiI
3,Esok Masih Ada, Hannah Delisha,https://www.youtube.com/watch?v=52K-UgfHDU8
4,Treat You Better,Shawn Mendes,https://www.youtube.com/watch?v=lY2yjAdbvdQ
5,Havana (feat. Young Thug),Camila Cabello,https://www.youtube.com/watch?v=egtD5GfAh58
6,Perfect,Ed Sheeran,https://www.youtube.com/watch?v=cNGjD0VG4R8
7,Silence,Marshmello,https://www.youtube.com/watch?v=tk36ovCMsU8
8,Unforgettable,French Montana,https://www.youtube.com/watch?v=MIcIza4sqaM
9,Him & I(with Halsey),G-Eazy,https://www.youtube.com/watch?v=iTjdfI4It-Y
10,FRIENDS,Anne-Marie,https://www.youtube.com/watch?v=KtSo1Q19izk

